symbol,model,train_acc,test_acc,test_accuracy,test_f1
AACG,random_forest,0.9612068965517241,0.5372750642673522,0.5372750642673522,0.5238095238095238
AACG,xgboost,1.0,0.532133676092545,0.532133676092545,0.47398843930635837
AACG,lightgbm,0.978448275862069,0.5475578406169666,0.5475578406169666,0.4567901234567901
AACG,logistic_regression,0.6206896551724138,0.5295629820051414,0.5295629820051414,0.26506024096385544
AACI,random_forest,0.9,0.615819209039548,0.615819209039548,0.19047619047619047
AACI,xgboost,0.9826086956521739,0.6045197740112994,0.6045197740112994,0.07894736842105263
AACI,lightgbm,0.9521739130434783,0.5988700564971752,0.5988700564971752,0.10126582278481013
AACI,logistic_regression,0.7652173913043478,0.5819209039548022,0.5819209039548022,0.24489795918367346
AACIW,random_forest,0.9541284403669725,0.6488095238095238,0.6488095238095238,0.06349206349206349
AACIW,xgboost,1.0,0.6666666666666666,0.6666666666666666,0.2
AACIW,lightgbm,0.981651376146789,0.6488095238095238,0.6488095238095238,0.09230769230769231
AACIW,logistic_regression,0.7339449541284404,0.625,0.625,0.27586206896551724
AADI,random_forest,0.978448275862069,0.5197368421052632,0.5197368421052632,0.6217616580310881
AADI,xgboost,1.0,0.5164473684210527,0.5164473684210527,0.5242718446601942
AADI,lightgbm,0.9612068965517241,0.5592105263157895,0.5592105263157895,0.45081967213114754
AADI,logistic_regression,0.5646551724137931,0.4309210526315789,0.4309210526315789,0.5664160401002506
AAL,random_forest,0.9827586206896551,0.5372750642673522,0.5372750642673522,0.5714285714285714
AAL,xgboost,1.0,0.519280205655527,0.519280205655527,0.5536992840095465
AAL,lightgbm,1.0,0.5244215938303342,0.5244215938303342,0.5563549160671463
AAL,logistic_regression,0.5431034482758621,0.5038560411311054,0.5038560411311054,0.5063938618925832
AAME,random_forest,0.9698275862068966,0.4910025706940874,0.4910025706940874,0.5822784810126582
AAME,xgboost,1.0,0.4910025706940874,0.4910025706940874,0.5840336134453782
AAME,lightgbm,0.9655172413793104,0.4832904884318766,0.4832904884318766,0.524822695035461
AAME,logistic_regression,0.5948275862068966,0.5424164524421594,0.5424164524421594,0.4573170731707317
AAOI,random_forest,0.9827586206896551,0.5269922879177378,0.5269922879177378,0.4140127388535032
AAOI,xgboost,1.0,0.4987146529562982,0.4987146529562982,0.4314868804664723
AAOI,lightgbm,0.9655172413793104,0.5269922879177378,0.5269922879177378,0.3825503355704698
AAOI,logistic_regression,0.5603448275862069,0.5269922879177378,0.5269922879177378,0.3333333333333333
AAON,random_forest,0.9655172413793104,0.5347043701799485,0.5347043701799485,0.559610705596107
AAON,xgboost,1.0,0.5347043701799485,0.5347043701799485,0.5574572127139364
AAON,lightgbm,0.9698275862068966,0.519280205655527,0.519280205655527,0.5405405405405406
AAON,logistic_regression,0.5603448275862069,0.519280205655527,0.519280205655527,0.5759637188208617
AAPL,random_forest,0.978448275862069,0.46786632390745503,0.46786632390745503,0.2736842105263158
AAPL,xgboost,1.0,0.5038560411311054,0.5038560411311054,0.4340175953079179
AAPL,lightgbm,0.9956896551724138,0.506426735218509,0.506426735218509,0.4251497005988024
AAPL,logistic_regression,0.5431034482758621,0.46786632390745503,0.46786632390745503,0.3591331269349845
